timestamp,symbol,timeframe,mode,event,side,price,quantity,stopLoss,takeProfit,fee,pnl,balanceBefore,balanceAfter,decisionSummary
2026-06-23T16:39:41.855Z,BTCUSDT,1h,live,OPEN,SHORT,62571.5,0.139975448120114,63210.441835849095,61293.61632830181,5.255084251228628,0,10000,9994.744915748772,"目前系統給出 SHORT，confidence 79，因為趨勢、動能與參與度大致站在空方這一側。價格 62461.10 落在 EMA20 63074.23 與 EMA50 63591.13 之下，EMA20、EMA50、EMA80 呈現空頭排列，趨勢結構仍偏空。RSI 32.1 落在 50 下方，MACD Histogram -71.94 維持負值，代表反彈力道不足，空方動能仍在。成交量變化 -17.6% 沒有明顯放大，20 根報酬 -3.1% 也未形成延續，成交參與度不足以單獨支持方向。Funding rate -0.0002% 接近中性，暫時沒有過度擁擠的一側。Open interest 33176。目前波動偏高，代表即使方向判斷正確，進場節奏也更容易被來回掃掉。"
2026-06-23T17:21:19.484Z,BTCUSDT,1h,live,CLOSE,SHORT,62549.3,0.139975448120114,63210.441835849095,61293.61632830181,5.253219778259667,3.1074549482661236,9994.744915748772,9992.599150918777,"目前系統給出 SHORT，confidence 79，因為趨勢、動能與參與度大致站在空方這一側。價格 62461.10 落在 EMA20 63074.23 與 EMA50 63591.13 之下，EMA20、EMA50、EMA80 呈現空頭排列，趨勢結構仍偏空。RSI 32.1 落在 50 下方，MACD Histogram -71.94 維持負值，代表反彈力道不足，空方動能仍在。成交量變化 -17.6% 沒有明顯放大，20 根報酬 -3.1% 也未形成延續，成交參與度不足以單獨支持方向。Funding rate -0.0002% 接近中性，暫時沒有過度擁擠的一側。Open interest 33176。目前波動偏高，代表即使方向判斷正確，進場節奏也更容易被來回掃掉。"
2026-06-24T03:43:58.714Z,BTCUSDT,1h,live,OPEN,SHORT,62776,0.15917865348092866,63320.30096911515,61687.398061769694,5.9955594905512655,0,9992.599150918777,9986.603591428226,"目前系統給出 SHORT，confidence 70，因為趨勢、動能與參與度大致站在空方這一側。價格 62601.90 落在 EMA20 62767.29 與 EMA50 63232.25 之下，EMA20、EMA50、EMA80 呈現空頭排列，趨勢結構仍偏空。RSI 42.9 與 MACD Histogram 106.57 沒有形成同向共識，動能訊號目前偏中性。成交量變化 -29.7% 沒有明顯放大，20 根報酬 -0.5% 也未形成延續，成交參與度不足以單獨支持方向。Funding rate 0.0048% 接近中性，暫時沒有過度擁擠的一側。Open interest 32809。目前波動仍在可控區間，重點回到趨勢與動能是否持續同向。"
2026-06-24T04:59:52.944Z,BTCUSDT,1h,live,CLOSE,SHORT,62749.4,0.15917865348092866,63320.30096911515,61687.398061769694,5.993018999241711,4.234152182592471,9986.603591428226,9984.844724611577,"目前系統給出 SHORT，confidence 70，因為趨勢、動能與參與度大致站在空方這一側。價格 62601.90 落在 EMA20 62767.29 與 EMA50 63232.25 之下，EMA20、EMA50、EMA80 呈現空頭排列，趨勢結構仍偏空。RSI 42.9 與 MACD Histogram 106.57 沒有形成同向共識，動能訊號目前偏中性。成交量變化 -29.7% 沒有明顯放大，20 根報酬 -0.5% 也未形成延續，成交參與度不足以單獨支持方向。Funding rate 0.0048% 接近中性，暫時沒有過度擁擠的一側。Open interest 32809。目前波動仍在可控區間，重點回到趨勢與動能是否持續同向。"
2026-06-24T05:00:07.340Z,BTCUSDT,1h,live,OPEN,SHORT,62734.7,0.1591598385679947,63279.00096911515,61646.09806176969,5.990906834766946,0,9984.844724611577,9978.853817776811,"目前系統給出 SHORT，confidence 70，因為趨勢、動能與參與度大致站在空方這一側。價格 62601.90 落在 EMA20 62767.29 與 EMA50 63232.25 之下，EMA20、EMA50、EMA80 呈現空頭排列，趨勢結構仍偏空。RSI 42.9 與 MACD Histogram 106.57 沒有形成同向共識，動能訊號目前偏中性。成交量變化 -29.7% 沒有明顯放大，20 根報酬 -0.5% 也未形成延續，成交參與度不足以單獨支持方向。Funding rate 0.0048% 接近中性，暫時沒有過度擁擠的一側。Open interest 32809。目前波動仍在可控區間，重點回到趨勢與動能是否持續同向。"
2026-06-24T05:15:48.361Z,BTCUSDT,1h,live,CLOSE,SHORT,62777.8,0.1591598385679947,63279.00096911515,61646.09806176969,5.995022708192314,-6.859789042281498,9978.853817776811,9965.999006026339,"目前系統給出 SHORT，confidence 70，因為趨勢、動能與參與度大致站在空方這一側。價格 62601.90 落在 EMA20 62767.29 與 EMA50 63232.25 之下，EMA20、EMA50、EMA80 呈現空頭排列，趨勢結構仍偏空。RSI 42.9 與 MACD Histogram 106.57 沒有形成同向共識，動能訊號目前偏中性。成交量變化 -29.7% 沒有明顯放大，20 根報酬 -0.5% 也未形成延續，成交參與度不足以單獨支持方向。Funding rate 0.0048% 接近中性，暫時沒有過度擁擠的一側。Open interest 32809。目前波動仍在可控區間，重點回到趨勢與動能是否持續同向。"
2026-06-24T05:17:35.293Z,BTCUSDT,1h,live,OPEN,SHORT,62799.5,0.15869551518764224,63337.0982882443,61724.30342351141,5.9795994036158024,0,9965.999006026339,9960.019406622723,"目前系統給出 SHORT，confidence 70，因為趨勢、動能與參與度大致站在空方這一側。價格 62718.00 落在 EMA20 62757.07 與 EMA50 63192.14 之下，EMA20、EMA50、EMA80 呈現空頭排列，趨勢結構仍偏空。RSI 45.9 與 MACD Histogram 95.69 沒有形成同向共識，動能訊號目前偏中性。成交量變化 -49.8% 沒有明顯放大，20 根報酬 0.6% 也未形成延續，成交參與度不足以單獨支持方向。Funding rate 0.0034% 接近中性，暫時沒有過度擁擠的一側。Open interest 32830。目前波動仍在可控區間，重點回到趨勢與動能是否持續同向。"
2026-06-24T05:47:50.597Z,BTCUSDT,1h,live,CLOSE,SHORT,62909.4,0.15869551518764224,63337.0982882443,61724.30342351141,5.990063785887276,-17.440637119122112,9960.019406622723,9936.588705717715,"目前系統給出 SHORT，confidence 70，因為趨勢、動能與參與度大致站在空方這一側。價格 62718.00 落在 EMA20 62757.07 與 EMA50 63192.14 之下，EMA20、EMA50、EMA80 呈現空頭排列，趨勢結構仍偏空。RSI 45.9 與 MACD Histogram 95.69 沒有形成同向共識，動能訊號目前偏中性。成交量變化 -49.8% 沒有明顯放大，20 根報酬 0.6% 也未形成延續，成交參與度不足以單獨支持方向。Funding rate 0.0034% 接近中性，暫時沒有過度擁擠的一側。Open interest 32830。目前波動仍在可控區間，重點回到趨勢與動能是否持續同向。"
2026-06-24T05:48:33.361Z,BTCUSDT,1h,live,OPEN,SHORT,62920.6,0.15792266293896937,63458.1982882443,61845.40342351141,5.961953223430629,0,9936.588705717715,9930.626752494285,"目前系統給出 SHORT，confidence 70，因為趨勢、動能與參與度大致站在空方這一側。價格 62718.00 落在 EMA20 62757.07 與 EMA50 63192.14 之下，EMA20、EMA50、EMA80 呈現空頭排列，趨勢結構仍偏空。RSI 45.9 與 MACD Histogram 95.69 沒有形成同向共識，動能訊號目前偏中性。成交量變化 -49.8% 沒有明顯放大，20 根報酬 0.6% 也未形成延續，成交參與度不足以單獨支持方向。Funding rate 0.0034% 接近中性，暫時沒有過度擁擠的一側。Open interest 32934。目前波動仍在可控區間，重點回到趨勢與動能是否持續同向。"
2026-06-24T06:17:25.916Z,BTCUSDT,1h,live,CLOSE,SHORT,62757.7,0.15792266293896937,63458.1982882443,61845.40342351141,5.946517862354974,25.72560179275834,9930.626752494285,9950.405836424688,"目前系統給出 SHORT，confidence 70，因為趨勢、動能與參與度大致站在空方這一側。價格 62718.00 落在 EMA20 62757.07 與 EMA50 63192.14 之下，EMA20、EMA50、EMA80 呈現空頭排列，趨勢結構仍偏空。RSI 45.9 與 MACD Histogram 95.69 沒有形成同向共識，動能訊號目前偏中性。成交量變化 -49.8% 沒有明顯放大，20 根報酬 0.6% 也未形成延續，成交參與度不足以單獨支持方向。Funding rate 0.0034% 接近中性，暫時沒有過度擁擠的一側。Open interest 32934。目前波動仍在可控區間，重點回到趨勢與動能是否持續同向。"
